90103;Baumschulenweg;1535;13;7;120;35;57;903;54;139;172;83;7;5;142;38;13;359
90104;Johannisthal;1388;7;4;108;20;46;757;43;127;163;81;3;2;112;12;14;309
90205;Oberschöneweide;2287;11;8;268;71;76;1107;66;146;233;41;20;12;288;64;45;617
90206;Niederschöneweide;1789;13;8;147;24;39;1010;38;83;174;13;5;2;127;31;32;292
90207;Adlershof;2181;11;4;166;32;49;1251;68;125;306;32;11;4;198;46;18;376
90208;Köllnische Vorstadt/Spindlersfeld;863;4;2;111;16;30;385;30;58;81;15;4;1;109;19;12;247
90309;Altglienicke;1612;3;2;160;24;66;821;85;246;79;107;13;9;166;26;16;360
90310;Bohnsdorf;937;3;0;101;25;39;488;28;81;57;52;3;2;66;13;15;187
90311;Grünau;506;1;1;30;10;22;309;8;53;72;22;3;2;45;7;10;119
90312;Schmöckwitz/Karolinenhof/Rauchfangswerder;215;0;0;19;2;4;115;6;17;7;24;1;1;13;1;1;29
90413;Köpenick-Süd;785;2;1;104;17;22;385;34;81;89;13;16;8;88;15;5;187
90414;Allende-Viertel;394;1;1;29;9;14;215;18;17;24;9;3;2;46;3;4;68
90415;Altstadt-Kietz;724;2;2;117;25;38;246;9;26;79;8;1;1;105;22;14;239
90416;Müggelheim;269;0;0;16;3;16;98;12;20;14;8;5;4;47;11;1;57
90517;Friedrichshagen;1235;6;3;117;20;38;647;31;67;254;17;6;3;161;39;19;236
90518;Rahnsdorf/Hessenwinkel;584;5;1;38;6;15;327;11;53;142;32;8;2;57;8;3;81
90519;Dammvorstadt;1553;8;5;128;33;36;724;11;32;161;14;7;2;162;54;41;307
90520;Köpenick-Nord;646;5;2;54;6;17;327;15;47;114;43;13;2;82;13;5;135
99900;Bezirk (Tp-Kp), nicht zuzuordnen;1018;10;9;85;19;35;552;27;124;124;0;10;5;88;18;23;169
100000;Marzahn-Hellersdorf;24217;235;140;3005;538;898;10364;649;1892;1088;638;210;64;2916;630;357;6188
100101;Marzahn-Nord;1961;26;18;361;60;97;668;62;128;82;22;18;7;266;70;34;660
100102;Marzahn-Mitte;5047;51;27;735;134;176;2113;147;417;160;30;56;12;577;85;78;1483
100103;Marzahn-Süd;4043;46;22;355;66;128;1954;167;446;116;109;36;14;427;69;44;872
100204;Hellersdorf-Nord;4295;21;11;656;113;180;1606;66;262;115;42;34;9;634;175;61;1209
100205;Hellersdorf-Ost;1835;26;18;290;58;96;643;39;116;103;18;33;9;296;68;49;607
100206;Hellersdorf-Süd;1974;22;14;233;37;79;789;58;113;79;36;8;5;288;88;34;562
100307;Biesdorf;2030;10;7;150;30;42;1208;38;172;183;167;9;3;169;31;31;325
100408;Kaulsdorf;1109;7;2;99;14;38;520;24;80;98;93;6;2;102;8;3;194
100409;Mahlsdorf;1242;7;5;78;9;42;634;33;104;127;120;2;1;97;16;10;172
109900;Bezirk (Mz-Hd), nicht zuzuordnen;681;19;16;48;17;20;229;15;54;25;1;8;2;60;20;13;104
110000;Lichtenberg;28216;237;147;2664;547;829;14126;807;2599;2193;660;177;75;2715;556;429;6181
110101;Malchow, Wartenberg und Falkenberg;374;0;0;38;13;16;175;5;15;13;17;2;2;31;10;2;68
110102;Neu-Hohenschönhausen Nord;1804;26;16;271;43;72;678;64;141;89;27;17;5;201;31;55;574
110103;Neu-Hohenschönhausen Süd;2215;19;11;327;63;79;965;60;152;88;19;18;4;233;27;42;646
110204;Alt-Hohenschönhausen Nord;1721;7;2;171;29;50;912;31;121;61;67;7;3;131;12;26;347
110205;Alt-Hohenschönhausen Süd;2739;26;21;203;40;59;1481;119;445;168;86;14;4;265;46;26;558
110306;Fennpfuhl;3145;26;17;269;51;103;1591;140;450;245;95;28;5;359;69;22;691
110307;Alt-Lichtenberg;5345;48;25;494;117;128;2763;92;355;326;95;28;15;399;96;56;1039
110308;Frankfurter Allee Süd;1551;15;9;97;29;36;768;56;138;162;15;10;10;106;21;83;227
110409;Neu Lichtenberg;3218;27;13;274;53;92;1693;49;179;403;65;14;7;400;124;47;740
